Diario,Imagen,URL,Instrucción,Posición
El Comercio,,https://i.prcdn.co/img?cid=eaaj&v=0&ver=0&width=1200&date=20260307,Descargar directo,1
La República,,https://imgmedia.larepublica.pe/1200x1543/larepublica/printed/2026/03/07/lima/pages/01.jpeg,Descargar directo,2
Perú21,,https://peru21.pe/sites/default/efsfiles/styles/wide/public/2026-03/pl070326_01.jpg,Descargar directo,3
Correo,,https://i.prcdn.co/img?cid=eagb&v=0&ver=0&width=1200&date=20260307,Descargar directo,4
Expreso,,https://www.expreso.com.pe/,"Extraer imagen de data-src en img con alt=""Diario expreso - Portada del día""",5
La Razón,,https://larazon.pe/edicion_impresa/ediciones-impresas-06-03-26/,"Extraer imagen de content en meta con property=""og:image""",6
La Noticia,,https://digital.lanoticia.com.pe/ln07032026/#1,"Extraer imagen de content en meta con property=""og:image""",7
Diario Uno,,https://diariouno.pe/wp-content/uploads/2026/03/2026-03-07-Diario-UNO.jpg,Descargar directo,8
Prensa Chalaca,,https://prensachalaca.com/,"Extraer imagen más grande de srcset en img con padre a con href que contenga ""issuu.com""",9
Gestión,,https://i.prcdn.co/img?cid=eag6&v=0&ver=0&width=1200&date=20260306,Descargar directo,10
El Peruano,,https://elperuano.pe/,"Extraer pdf de a con href que contenga ""epdoc2"" y convertir primera página en imagen",11
Trome,,https://i.prcdn.co/img?cid=eag8&v=0&ver=0&width=1200&date=20260307,Descargar directo,12
Ojo,,https://i.prcdn.co/img?cid=eags&v=0&ver=0&width=1200&date=20260307,Descargar directo,13
El Popular,,https://imgmedia.elpopular.pe/1200x1272/elpopular/printed/2026/03/07/lima/pages/01.jpeg,Descargar directo,14
Ajá,,https://diarioaja.pe/portada-impresa-aja-7-3-2026/,"Extraer imagen de content en meta con property=""og:image""",15
El Men,,https://elmen.pe/portada-diario-el-men-7-3-2026/,"Extraer imagen de content en meta con property=""og:image""",16
Líbero,,https://imgmedia.libero.pe/1200x1244/libero/printed/2026/03/07/lima/pages/01.jpeg,Descargar directo,17
Todo Sport,,https://todosport.pe/portada-diario-todosport-7-03-2026/,"Extraer imagen de content en meta con property=""og:image""",18
El Diez,,https://www.eldiez.com.pe/,"Extraer imagen de data-src en img con src que contenga ""Portada.jpg""",19
